year,quarter,domain,technology,region,demand_index,median_salary,hiring_velocity,attrition_rate_est,remote_ratio
2020,1,Healthcare,Python,NA,31.2,200922.67,0.822,0.146,0.149
2020,1,Healthcare,Python,EU,21.38,151932.33,0.737,0.091,0.172
2020,1,Healthcare,Python,APAC,17.52,118637.93,0.65,0.135,0.21
2020,1,Healthcare,Python,India,10.39,79152.9,0.618,0.095,0.127
2020,1,Healthcare,Python,,17.89,118722.04,0.876,0.085,0.118
2020,1,Healthcare,Java,NA,40.28,137271.88,0.615,0.143,0.249
2020,1,Healthcare,Java,EU,29.83,102499.86,0.884,0.086,0.248
2020,1,Healthcare,Java,APAC,21.8,80384.33,0.794,0.091,0.247
2020,1,Healthcare,Java,India,16.78,55778.26,0.719,0.096,0.165
2020,1,Healthcare,Java,,20.91,83931.57,0.804,0.139,0.105
2020,1,Healthcare,AWS,NA,39.47,144147.29,0.717,0.082,0.167
2020,1,Healthcare,AWS,EU,30.63,111334.36,0.658,0.13,0.206
2020,1,Healthcare,AWS,APAC,24.14,83552.39,0.638,0.099,0.08
2020,1,Healthcare,AWS,India,16.55,57288.38,0.69,0.104,0.078
2020,1,Healthcare,AWS,,23.75,85294.91,0.788,0.111,0.069
2020,1,Healthcare,Azure,NA,44.0,161270.99,0.865,0.105,0.238
2020,1,Healthcare,Azure,EU,32.83,127405.66,0.651,0.146,0.21
2020,1,Healthcare,Azure,APAC,25.85,97632.39,0.863,0.096,0.159
2020,1,Healthcare,Azure,India,16.04,65029.2,0.66,0.102,0.109
2020,1,Healthcare,Azure,,26.55,96218.27,0.838,0.133,0.172
2020,1,Healthcare,React,NA,41.05,143072.86,0.701,0.128,0.099
2020,1,Healthcare,React,EU,30.82,110388.75,0.722,0.137,0.235
2020,1,Healthcare,React,APAC,22.58,82037.04,0.766,0.109,0.165
2020,1,Healthcare,React,India,17.24,59190.83,0.824,0.097,0.148
2020,1,Healthcare,React,,23.93,84177.94,0.698,0.087,0.212
2020,1,Healthcare,DevOps,NA,39.86,205579.62,0.723,0.131,0.192
2020,1,Healthcare,DevOps,EU,28.94,160350.49,0.837,0.145,0.086
2020,1,Healthcare,DevOps,APAC,20.63,121386.16,0.824,0.091,0.181
2020,1,Healthcare,DevOps,India,14.39,84576.35,0.657,0.126,0.131
2020,1,Healthcare,DevOps,,22.01,120193.16,0.789,0.1,0.239
2020,1,Healthcare,DataSci,NA,39.5,138630.24,0.897,0.108,0.075
2020,1,Healthcare,DataSci,EU,33.04,105212.51,0.789,0.09,0.143
2020,1,Healthcare,DataSci,APAC,26.1,80802.31,0.761,0.143,0.16
2020,1,Healthcare,DataSci,India,17.14,56357.19,0.834,0.088,0.055
2020,1,Healthcare,DataSci,,25.76,84372.13,0.815,0.085,0.079
2020,1,Healthcare,MLE,NA,42.75,186897.66,0.625,0.103,0.072
2020,1,Healthcare,MLE,EU,32.31,137935.95,0.787,0.089,0.175
2020,1,Healthcare,MLE,APAC,26.31,107969.4,0.812,0.111,0.159
2020,1,Healthcare,MLE,India,17.72,75134.36,0.853,0.116,0.053
2020,1,Healthcare,MLE,,26.77,105682.49,0.892,0.128,0.183
2020,1,Healthcare,QA-Automation,NA,23.85,131901.38,0.62,0.084,0.234
2020,1,Healthcare,QA-Automation,EU,17.13,102325.3,0.772,0.118,0.235
2020,1,Healthcare,QA-Automation,APAC,14.97,78594.09,0.683,0.126,0.074
2020,1,Healthcare,QA-Automation,India,8.5,55043.2,0.876,0.122,0.177
2020,1,Healthcare,QA-Automation,,16.16,77726.22,0.76,0.131,0.126
2020,1,Healthcare,Kubernetes,NA,27.01,192149.96,0.64,0.133,0.231
2020,1,Healthcare,Kubernetes,EU,22.14,145475.09,0.643,0.113,0.05
2020,1,Healthcare,Kubernetes,APAC,18.12,113656.46,0.679,0.133,0.104
2020,1,Healthcare,Kubernetes,India,13.44,81895.34,0.869,0.141,0.109
2020,1,Healthcare,Kubernetes,,15.17,115247.46,0.614,0.106,0.218
2020,1,Insurance,Python,NA,28.4,197944.87,0.834,0.128,0.14
2020,1,Insurance,Python,EU,24.45,150742.1,0.602,0.134,0.059
2020,1,Insurance,Python,APAC,18.92,118249.32,0.701,0.117,0.191
