quarter,role_family,level,technology,demand,internal_fulfilled,external_hires,cost_estimated
2025Q1,DataEng,Junior,SQL,0.43,0.43,0.0,0.0
2025Q1,DataEng,Mid,SQL,1.0,1.0,0.0,0.0
2025Q1,DataEng,Senior,SQL,1.0,1.0,0.0,0.0
2025Q1,DataEng,Lead,SQL,0.34,0.34,0.0,0.0
2025Q1,DataEng,Principal,SQL,0.09,0.09,0.0,0.0
2025Q1,DevOps,Junior,SQL,0.26,0.26,0.0,0.0
2025Q1,DevOps,Mid,SQL,0.6,0.6,0.0,0.0
2025Q1,DevOps,Senior,SQL,0.6,0.6,0.0,0.0
2025Q1,DevOps,Lead,SQL,0.21,0.21,0.0,0.0
2025Q1,DevOps,Principal,SQL,0.05,0.05,0.0,0.0
2025Q1,Backend,Junior,SQL,0.09,0.09,0.0,0.0
2025Q1,Backend,Mid,SQL,0.2,0.2,0.0,0.0
2025Q1,Backend,Senior,SQL,0.2,0.2,0.0,0.0
2025Q1,Backend,Lead,SQL,0.07,0.07,0.0,0.0
2025Q1,Backend,Principal,SQL,0.02,0.02,0.0,0.0
2025Q1,MLE,Junior,SQL,0.09,0.0,0.09,1800.0
2025Q1,MLE,Mid,SQL,0.2,0.0,0.2,5800.0
2025Q1,MLE,Senior,SQL,0.2,0.0,0.2,9800.0
2025Q1,MLE,Lead,SQL,0.07,0.0,0.07,11200.0
2025Q1,MLE,Principal,SQL,0.02,0.0,0.02,11600.0
2025Q1,PM,Senior,SQL,0.29,0.29,0.0,11600.0
2025Q1,PM,Lead,SQL,0.23,0.23,0.0,11600.0
2025Q1,PM,Principal,SQL,0.06,0.06,0.0,11600.0
2025Q1,QA,Junior,SQL,0.14,0.14,0.0,11600.0
2025Q1,QA,Mid,SQL,0.26,0.26,0.0,11600.0
2025Q1,QA,Senior,SQL,0.14,0.14,0.0,11600.0
2025Q1,QA,Lead,SQL,0.03,0.03,0.0,11600.0
2025Q2,DataEng,Junior,SQL,0.36,0.36,0.0,11600.0
2025Q2,DataEng,Mid,SQL,0.83,0.83,0.0,11600.0
2025Q2,DataEng,Senior,SQL,0.83,0.83,0.0,11600.0
2025Q2,DataEng,Lead,SQL,0.28,0.28,0.0,11600.0
2025Q2,DataEng,Principal,SQL,0.07,0.07,0.0,11600.0
