employee_id,quarter,role_family,level,technology
1110,2025Q1,DataEng,Senior,SQL
1110,2025Q1,DataEng,Senior,SQL
1154,2025Q1,DataEng,Lead,SQL
1110,2025Q1,DataEng,Senior,SQL
1154,2025Q1,DataEng,Lead,SQL
1004,2025Q1,DataEng,Lead,SQL
1004,2025Q1,DataEng,Lead,SQL
1004,2025Q1,DataEng,Lead,SQL
1068,2025Q1,DevOps,Junior,SQL
1068,2025Q1,DevOps,Junior,SQL
1104,2025Q1,DevOps,Senior,SQL
1068,2025Q1,DevOps,Junior,SQL
1104,2025Q1,DevOps,Senior,SQL
1104,2025Q1,DevOps,Senior,SQL
1104,2025Q1,DevOps,Senior,SQL
1078,2025Q1,Backend,Junior,SQL
1078,2025Q1,Backend,Junior,SQL
1078,2025Q1,Backend,Junior,SQL
1078,2025Q1,Backend,Junior,SQL
1078,2025Q1,Backend,Junior,SQL
1237,2025Q1,PM,Lead,SQL
1237,2025Q1,PM,Lead,SQL
1237,2025Q1,PM,Lead,SQL
1193,2025Q1,QA,Mid,SQL
1193,2025Q1,QA,Mid,SQL
1193,2025Q1,QA,Mid,SQL
1193,2025Q1,QA,Mid,SQL
1085,2025Q2,DataEng,Senior,SQL
1085,2025Q2,DataEng,Senior,SQL
1154,2025Q2,DataEng,Lead,SQL
1085,2025Q2,DataEng,Senior,SQL
1154,2025Q2,DataEng,Lead,SQL
1135,2025Q2,DataEng,Senior,SQL
1154,2025Q2,DataEng,Lead,SQL
1135,2025Q2,DataEng,Senior,SQL
1135,2025Q2,DataEng,Senior,SQL
1019,2025Q2,DevOps,Mid,SQL
1019,2025Q2,DevOps,Mid,SQL
1019,2025Q2,DevOps,Mid,SQL
1068,2025Q2,DevOps,Junior,SQL
1068,2025Q2,DevOps,Junior,SQL
1068,2025Q2,DevOps,Junior,SQL
1230,2025Q2,Backend,Senior,SQL
1230,2025Q2,Backend,Senior,SQL
1230,2025Q2,Backend,Senior,SQL
1230,2025Q2,Backend,Senior,SQL
1230,2025Q2,Backend,Senior,SQL
1237,2025Q2,PM,Lead,SQL
1237,2025Q2,PM,Lead,SQL
1237,2025Q2,PM,Lead,SQL
1081,2025Q2,QA,Junior,SQL
1081,2025Q2,QA,Junior,SQL
1081,2025Q2,QA,Junior,SQL
1081,2025Q2,QA,Junior,SQL
1085,2025Q3,DataEng,Senior,SQL
1085,2025Q3,DataEng,Senior,SQL
1021,2025Q3,DataEng,Lead,SQL
1085,2025Q3,DataEng,Senior,SQL
1021,2025Q3,DataEng,Lead,SQL
1077,2025Q3,DataEng,Junior,SQL
1021,2025Q3,DataEng,Lead,SQL
1077,2025Q3,DataEng,Junior,SQL
1077,2025Q3,DataEng,Junior,SQL
1176,2025Q3,DevOps,Mid,SQL
1176,2025Q3,DevOps,Mid,SQL
1019,2025Q3,DevOps,Mid,SQL
1176,2025Q3,DevOps,Mid,SQL
1019,2025Q3,DevOps,Mid,SQL
1019,2025Q3,DevOps,Mid,SQL
1019,2025Q3,DevOps,Mid,SQL
1177,2025Q3,Backend,Mid,SQL
1177,2025Q3,Backend,Mid,SQL
1177,2025Q3,Backend,Mid,SQL
1177,2025Q3,Backend,Mid,SQL
1177,2025Q3,Backend,Mid,SQL
1122,2025Q3,PM,Mid,SQL
1122,2025Q3,PM,Mid,SQL
1122,2025Q3,PM,Mid,SQL
1193,2025Q3,QA,Mid,SQL
1193,2025Q3,QA,Mid,SQL
1193,2025Q3,QA,Mid,SQL
1193,2025Q3,QA,Mid,SQL
